         215529 function calls (214454 primitive calls) in 1.613 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.614    1.614 launch.py:3(<module>)
        1    0.000    0.000    1.001    1.001 game.py:14(__init__)
        1    0.802    0.802    0.802    0.802 {pygame.base.init}
       17    0.024    0.001    0.417    0.025 __init__.py:1(<module>)
        1    0.000    0.000    0.367    0.367 game.py:29(run)
        1    0.000    0.000    0.335    0.335 gameview.py:34(draw)
        1    0.000    0.000    0.325    0.325 gameview.py:31(update)
        1    0.001    0.001    0.325    0.325 viewport.py:26(update)
     1272    0.001    0.000    0.289    0.000 world.py:90(getTile)
     1272    0.004    0.000    0.288    0.000 chunkmanager.py:34(getTile)
     1272    0.004    0.000    0.284    0.000 chunkmanager.py:14(getChunk)
        5    0.000    0.000    0.279    0.056 chunk.py:14(__init__)
        5    0.007    0.001    0.265    0.053 mapcache.py:42(genMap)
        1    0.005    0.005    0.246    0.246 game.py:1(<module>)
     1280    0.004    0.000    0.222    0.000 mapcache.py:62(getShadow)
     2474    0.025    0.000    0.219    0.000 simplex.py:49(octave_noise_2d)
      289    0.002    0.000    0.203    0.001 party.py:102(canSee)
      905    0.004    0.000    0.201    0.000 entity.py:180(canSee)
      226    0.006    0.000    0.197    0.001 world.py:147(obscured)
    14844    0.151    0.000    0.192    0.000 simplex.py:185(raw_noise_2d)
        1    0.028    0.028    0.182    0.182 __init__.py:25(<module>)
        1    0.001    0.001    0.144    0.144 surfarray.py:61(<module>)
        1    0.001    0.001    0.143    0.143 _numpysurfarray.py:45(<module>)
        1    0.006    0.006    0.141    0.141 __init__.py:106(<module>)
        1    0.010    0.010    0.088    0.088 {pygame.display.set_mode}
       38    0.080    0.002    0.080    0.002 {pygame.imageext.load_extended}
        1    0.002    0.002    0.078    0.078 pkgdata.py:18(<module>)
        1    0.009    0.009    0.076    0.076 pkg_resources.py:15(<module>)
        1    0.001    0.001    0.072    0.072 add_newdocs.py:9(<module>)
        5    0.018    0.004    0.064    0.013 __init__.py:2(<module>)
      289    0.001    0.000    0.062    0.000 viewport.py:60(updateMap)
      289    0.000    0.000    0.059    0.000 chunkmanager.py:31(getMap)
